Name,Market Cap (GBP$ Billion)
JPMorgan Chase,344.521
Industrial and Commercial Bank of China,304.229
Bank of America,286.706
Wells Fargo,271.444
China Construction Bank,226.84
HSBC Holdings PLC,193.237
Agricultural Bank of China,179.114
Citigroup Inc.,179.044
Bank of China,159.924
China Merchants Bank,108.059
Royal Bank of Canada,108.013
Banco Santander,101.96
Commonwealth Bank,98.903
Mitsubishi UFJ Financial Group,98.403
Toronto-Dominion Bank,95.574
BNP Paribas,90.999
Goldman Sachs,88.749
Sberbank of Russia,87.987
Morgan Stanley,87.82
U.S. Bancorp,83.332
HDFC Bank,88.128
Itaú Unibanco,75.969
Westpac,74.521
Scotiabank,69.574
ING Group,69.55
UBS,66.52
Charles Schwab,65.439
PNC Financial Services,63.669
Lloyds Banking Group,62.794
Sumitomo Mitsui Financial Group,59.335
Bank of Communications,59.114
Australia and New Zealand Banking Group,58.559
Banco Bradesco,57.121
National Australia Bank,56.22
Intesa Sanpaolo,54.667
Banco Bilbao Vizcaya Argentaria,53.474
Japan Post Bank,53.339
The Bank of New York Mellon,52.721
Shanghai Pudong Development Bank,51.816
Industrial Bank (China),50.575
Bank of China (Hong Kong),48.866
Bank of Montreal,46.867
Crédit Agricole,45.951
DBS Bank,45.364
Nordea,45.108
Capital One,45.039
Royal Bank of Scotland Group,44.496
Mizuho Financial Group,44.08
Credit Suisse,42.708
Postal Savings Bank of China,42.255
China Minsheng Bank,42.232
UniCredit,42.105
China CITIC Bank,41.817
Hang Seng Bank,40.689
Société Générale,40.584
Barclays,40.407
Canadian Imperial Bank of Commerce,38.374
Bank Central Asia,38.198
Truist Financial,36.946
Oversea-Chinese Banking Corp,36.451
State Bank of India,35.746
State Street,35.047
Deutsche Bank,34.06
KBC Bank,33.836
Danske Bank,33.685
Ping An Bank,33.482
Standard Chartered,32.888
United Overseas Bank,30.957
QNB Group,29.576
Bank Rakyat,29.153
