,rates
AED,3.937908
AFN,94.143731
ALL,114.103274
AMD,414.916723
ANG,1.924278
AOA,543.068337
ARS,215.123628
AUD,1.608391
AWG,1.929942
AZN,1.8249
BAM,1.958257
BBD,2.139304
BDT,112.621305
BGN,1.957771
BHD,0.404185
BIF,2218.880538
BMD,1.07219
BND,1.438338
BOB,7.383264
BRL,5.626744
BSD,1.067834
BTC,4.3215915e-05
BTN,87.665493
BWP,14.104565
BYN,2.695107
BYR,21014.929265
BZD,2.140806
CAD,1.468327
CDF,2197.989915
CHF,0.97762
CLF,0.031178
CLP,859.84318
CNY,7.372487
COP,5109.522725
CRC,585.106843
CUC,1.07219
CUP,28.413042
CVE,110.397485
CZK,23.817636
DJF,190.05669
DKK,7.444327
DOP,58.600793
DZD,145.82105
EGP,33.149117
ERN,16.082854
ETB,57.44534
EUR,1.0
FJD,2.376404
FKP,0.882036
GBP,0.881276
GEL,2.76606
GGP,0.882036
GHS,13.133356
GIP,0.882036
GMD,65.885999
GNF,9188.099763
GTQ,8.335381
GYD,225.190444
HKD,8.413386
HNL,26.31377
HRK,7.524925
HTG,164.188349
HUF,392.862332
IDR,16485.515085
ILS,3.892083
IMP,0.882036
INR,88.422996
IQD,1558.340704
IRR,45326.843461
ISK,151.275576
JEP,0.882036
JMD,163.563697
JOD,0.76095
JPY,143.846136
KES,138.954589
KGS,93.730765
KHR,4318.216659
KMF,492.001349
KPW,964.844444
KRW,1401.941978
KWD,0.328905
KYD,0.889808
KZT,487.176713
LAK,18028.283656
LBP,16026.958376
LKR,352.375409
LRD,171.233138
LSL,19.524392
LTL,3.165899
LVL,0.648557
LYD,5.17945
MAD,11.14274
MDL,19.98426
MGA,4643.739842
MKD,61.630248
MMK,2242.412223
MNT,3794.073576
MOP,8.626543
MRO,382.771741
MUR,50.564238
MVR,16.479876
MWK,1118.482488
MXN,20.178267
MYR,4.810891
MZN,67.655521
NAD,19.524678
NGN,493.765393
NIO,39.026783
NOK,11.367265
NPR,140.266299
NZD,1.722297
OMR,0.412791
PAB,1.073101
PEN,4.035964
PGK,3.762545
PHP,58.950631
PKR,300.933342
PLN,4.689063
PYG,7690.721216
QAR,3.904381
RON,4.924461
RSD,117.324457
RUB,80.714532
RWF,1162.748046
SAR,4.025827
SBD,8.792137
SCR,14.283737
SDG,637.410586
SEK,11.328698
SGD,1.442278
SHP,1.304588
SLE,22.214627
SLL,21175.757709
SOS,609.539994
SRD,36.41911
STD,22192.173817
SVC,9.342635
SYP,2693.079804
SZL,19.431102
THB,37.021628
TJS,11.660056
TMT,3.763388
TND,3.329143
TOP,2.525061
TRY,20.344097
TTD,7.250029
TWD,32.747158
TZS,2508.925003
UAH,39.43254
UGX,3970.945278
USD,1.07219
UYU,41.853685
UZS,12188.292554
VEF,2582835.423711
VES,25.856656
VND,25287.607486
VUV,128.454184
WST,2.953034
XAF,656.817978
XAG,0.049557
XAU,0.000563
XCD,2.897648
XDR,0.804502
XOF,656.817978
XPF,119.522438
YER,268.37131
ZAR,19.492934
ZMK,9651.001585
ZMW,21.694422
ZWL,345.244829
