,rates
AED,3.93617
AFN,94.102439
ALL,114.053228
AMD,414.734737
ANG,1.923434
AOA,542.837055
ARS,215.05937
AUD,1.609231
AWG,1.929096
AZN,1.82874
BAM,1.957398
BBD,2.138366
BDT,112.571908
BGN,1.95822
BHD,0.404019
BIF,2217.907318
BMD,1.07172
BND,1.437707
BOB,7.380025
BRL,5.623344
BSD,1.067366
BTC,4.3259558e-05
BTN,87.627042
BWP,14.098379
BYN,2.693925
BYR,21005.711945
BZD,2.139867
CAD,1.469977
CDF,2197.025858
CHF,0.976476
CLF,0.0312
CLP,860.915574
CNY,7.369466
COP,5107.281647
CRC,584.850211
CUC,1.07172
CUP,28.40058
CVE,110.349064
CZK,23.796256
DJF,189.97333
DKK,7.44511
DOP,58.57509
DZD,145.65532
EGP,33.114431
ERN,16.0758
ETB,57.420144
EUR,1.0
FJD,2.377395
FKP,0.881649
GBP,0.881875
GEL,2.76519
GGP,0.881649
GHS,13.127595
GIP,0.881649
GMD,65.857031
GNF,9184.069787
GTQ,8.331725
GYD,225.091674
HKD,8.409733
HNL,26.302229
HRK,7.521625
HTG,164.116335
HUF,392.690026
IDR,16486.268717
ILS,3.890601
IMP,0.881649
INR,88.356841
IQD,1557.657203
IRR,45306.962465
ISK,151.122668
JEP,0.881649
JMD,163.491956
JOD,0.76103
JPY,143.607287
KES,139.215793
KGS,93.689827
KHR,4316.322653
KMF,491.785557
KPW,964.421255
KRW,1402.763895
KWD,0.328783
KYD,0.889418
KZT,486.963033
LAK,18020.376302
LBP,16019.928821
LKR,352.220854
LRD,171.157982
LSL,19.515525
LTL,3.16451
LVL,0.648272
LYD,5.177179
MAD,11.137845
MDL,19.975495
MGA,4641.70306
MKD,61.617526
MMK,2241.428682
MNT,3792.409465
MOP,8.62276
MRO,382.603855
MUR,50.531751
MVR,16.472121
MWK,1117.991912
MXN,20.230322
MYR,4.80877
MZN,67.631043
NAD,19.515901
NGN,493.548426
NIO,39.009665
NOK,11.387421
NPR,140.204777
NZD,1.722677
OMR,0.412555
PAB,1.07263
PEN,4.034194
PGK,3.760895
PHP,58.917268
PKR,300.801351
PLN,4.686514
PYG,7687.348003
QAR,3.902671
RON,4.925514
RSD,117.326508
RUB,80.678909
RWF,1162.238055
SAR,4.024227
SBD,8.78828
SCR,14.274869
SDG,637.140695
SEK,11.345212
SGD,1.442465
SHP,1.304016
SLE,22.204883
SLL,21166.46977
SOS,609.273148
SRD,36.403119
STD,22182.440147
SVC,9.338537
SYP,2691.898597
SZL,19.422579
THB,37.043982
TJS,11.654942
TMT,3.761737
TND,3.327697
TOP,2.523954
TRY,20.337993
TTD,7.246849
TWD,32.747369
TZS,2507.825235
UAH,39.415245
UGX,3969.203589
USD,1.07172
UYU,41.835327
UZS,12182.946669
VEF,2581702.570897
VES,25.845315
VND,25276.516133
VUV,128.397843
WST,2.951739
XAF,656.529893
XAG,0.049447
XAU,0.000563
XCD,2.896377
XDR,0.804149
XOF,656.529893
XPF,119.469971
YER,268.253031
ZAR,19.564945
ZMK,9646.768365
ZMW,21.684907
ZWL,345.093402
